GRADUATEYEAR,STUDENTID,AlgorithmDesignandAnalysis,ArtificialIntelligence,CalculusforScience,CommunicativeEnglishForAcademicAnalysisInComputerTechnology,CommunicativeEnglishForResearchPresentationInComputerTechnology,CommunicativeEnglishForSpecificPurposesInComputerTechnology,ComputerArchitecture,ComputerNetworkAndDataCommunication,DataMiningTechniques,DataScience,DataStructure,DatabaseSystems,DevelopmentalEnglish,DigitalImageProcessing,DigitalMarketing,DiscreteMathematicsForComputerScience,EnergyAndTechnologyAroundUs,EnglishCriticalReadingForEffectiveCommunication,EnglishWritingForEffectiveCommunication,FundamentalEnglish,FundamentalLawsForQualityOfLife,FundamentalsOfProgramming,HistoryAndDevelopmentOfComputerTechnology,InternetProgramming,IntroductionToComputerInformationScience,IntroductionToRobotics,LanguageSocietyAndCulture,LifePrivacy,LifeSkills,LifeAndHealth,LinearAlgebraAndApplications,ManAndEnvironment,MathematicsForScience,MobileApplicationDevelopment,MultimediaApplicationDevelopment,MultimediaAnd WebTechnology,MusicStudiesInThaiCulture,ObjectOrientedProgramming,OperatingSystems,PhilosophyOfScience,PoliticsEconomyandSociety,ProgrammingLanguages,Seminar ,SensingAndActuationForInternetOfThings,SoftwareEngineering,SpecialTopicsInComputerScience,StatisticalAnalysis,SystemAnalysisAndDesign,ThaiLanguageSkills,GPAgraduate
2563,100249022,C,C+,D+,C+,B,B,B,C,C+,C+,D+,B+,B,A,,C,,C+,C+,C+,,C+,A,A,C+,B,C+,,A,,B,,D+,C+,B+,,,C+,B+,,,,A,B,A,,D,A,C+,2.71
2563,100249048,C+,A,C,C+,A,B,C,D,C,C+,D+,B,B,B,,C+,,B,C,B,,A,A,A,C,C,B+,,A,,B,,D,D+,B,,,B,B+,,,,A,B+,B,,D,B+,B,2.73
2563,100249055,C,C+,D,C,B,C,C+,F,C,C,D+,C,D+,B,,D,B+,C+,C,C+,,A,C+,D,D+,C,C+,,A,,B+,,D,,C+,,,C,C+,,,,A,C+,C,,D,C+,C,2.1
2564,100249056,D,D+,F,C+,B,D+,C,D,,F,C,F,B+,,,D,C+,A,B,A,,A,A,D,C,D,B,,,,D,,D+,D+,D+,,,B,B,,,,B,B,C,,F,D,C+,2.03
2563,100249069,C+,D+,C,C+,B,C,C+,D+,C,B,C,A,D+,B,,C+,B+,D+,C,D+,,B+,A,C+,C+,B,D+,,,,C,,F,,,,,B,C+,,,,C+,A,C+,,D,C+,C,2.38
2563,100249075,C,B,D+,D+,C+,D+,C,D+,B,B,D,B,C,B+,,C,A,C,D+,C,,B+,A,B,C+,C,B,,,,B,,D+,,,,,C+,C,,B,,B+,C+,C+,,D,D+,C,2.39
2563,100249085,B,A,C,A,A,A,A,C,B+,A,C,A,A,A,,B+,,A,A,A,,A,A,A,A,A,C+,,A,,A,,C+,A,A,,,A,A,,,,A,A,A,,C,A,B,3.53
2563,100249097,B,B,C,C,B+,C+,C+,C,B,B+,C,B+,D+,,,B,,C,C,C,A,B+,B+,B,C+,B,B,,,,B+,,C+,,B,,,C+,B,,,,B+,B,B+,,C+,B,C,2.73
2563,100249098,C,C+,D,C+,B+,B,C+,D,C+,,D,C,B,,,D+,,B,C,B,,C+,A,C,C,,,C+,,,C,,D,C+,B+,,,C,C+,,,,A,,B,,F,C+,C,2.28
2564,100249112,D+,D+,D,D+,C,C,C+,D,C,C,D,C,C,C,,D+,A,C+,C,C+,,B,A,D,C,,C+,,,,C,,D,,B,,,D,C+,,,,C,,C,,D,D+,C,2.03
2565,100249119,D+,B,F,D,C+,D+,D,F,C,D,D,F,B+,D,,D,,C+,C,C+,,B,A,D+,B,,,B,,,D+,,D,,C+,,,C+,C,,,,A,,C,,F,D,B,2.02
2563,100249141,B+,A,C+,B+,A,B,A,C+,C,,A,A,A,A,,B+,,B+,C+,B+,,A,A,A,A,A,,A,,,A,,B,A,A,,,A,C+,,,,A,B+,B,,C+,A,B,3.43
2564,100249157,D+,D+,C,C+,B+,C,C+,F,C,C,D+,B+,C,B,,C,A,D+,C,D+,,D+,B,D,B,,C,,A,,C,,C+,,B,,,C,C,,,,B+,,C+,,D,C,C+,2.2
2563,100249160,C,A,D+,A,B+,B+,A,C,B,B+,C,B,A,A,,C+,,B+,B,B+,,B,A,A,B,C+,B,,A,,B,,F,C,A,,,C+,C+,,,,A,A,B+,,D,B,C+,2.94
2563,100249183,B,B,D+,B,B+,D+,C+,C,C+,A,C+,A,C,B,,C+,C+,C+,B+,C+,,B+,A,C+,C,B+,,,B+,,B+,,C+,,,,C+,A,C+,,C+,,B+,A,C+,,C,B,C,2.72
2563,100249194,C+,B,D+,B,B+,C,C+,C,C+,C+,C,B,C+,,,C+,A,C,B,C,,B,B+,C+,C+,,C+,,,,B,,D+,B,B+,,,B,B,,C+,,B+,,B,,D,B+,C+,2.65
2565,100249197,C+,D+,D+,D+,D+,C,C+,D+,B,D,C,D,D,,,D,,C,C,C,,B,B+,D+,C,,,,B,,C,,C,,,,A,C,B,,B,,B,,C+,,F,B,C,2.22
2563,100249208,C,D+,D+,D,C,D,C,D+,C+,,D+,B+,C,,,D,,C,D,C,,C,B+,C,C,C,,B,,,C,,D,D+,B+,,,D,C+,,,,C+,C+,C+,,D,C,D+,2
2563,100249213,C,C,D,B,C+,D+,C,D,B+,,D,B,C,C+,,D+,,C,D+,C,,C,A,D+,C,D+,,B,,,C+,,D+,C,A,,,C,C+,,,,B+,C+,B,,D+,C+,C,2.17
2563,100249214,C+,B+,C+,C+,A,C,B,C,C+,,C+,A,C+,B+,,C+,,B,C+,B,,C+,A,A,B+,,,,,,B,,C,B,A,,,B,C,,,,B+,,A,,C,B,C+,3.08
2565,100249231,C,B,F,D+,B,C+,C+,D+,C,C,C+,D,B,,,C,,C,D+,C,,A,A,D+,C+,B,,B+,,,C+,,C+,B,B,,,B+,C,,,,A,C+,C+,,D,C,C,2.44
2563,100249235,C+,B,C,C+,B,D+,B,C,B,,C,A,C,B,,B,,C,D+,C,,B+,A,A,C,C+,,B+,,,B+,,B,B+,B+,,,B+,C,,,,B+,B,B,,D+,B+,C,2.75
2563,100249262,C,B,D,A,A,B+,B,C,C+,B,C,B+,B,,,C,A,B,C+,B,,A,B+,C+,B,,C+,,,,C+,,C,B,B+,,,A,C+,,,,B,,B,,D,C+,C,2.71
2563,100249265,C+,A,D+,C+,A,B,B+,C,B,B+,C,A,B,A,,B+,,C+,C+,C+,,A,A,B,C+,B+,C+,,A,,A,,C+,A,B+,,,B+,B+,,,,A,B+,A,,D+,A,B,3.13
2563,100249268,C,B,D+,B,B+,C+,B,D+,B,C+,D+,C+,B,B+,,C+,,B,C+,B,,B+,A,C+,C,B,B,,A,,B,,F,C,B+,,,C+,C+,,,,A,B+,B+,,D,B,C+,2.66
2563,100249276,C,B,C,D+,C+,C,C+,C,B,C,D+,B+,C,,,C+,,C,C,C,,B,B+,D+,C+,C,,,A,,A,,C,D,,,A,B,C,,,,B+,C+,C+,,C,B,C+,2.52
2563,100249281,C,C,D+,B,C+,C,D+,D,C+,,D+,D,B,,,D,C,B,C,B,,C+,B+,C,C,,,,B+,,C,,D+,D+,C,,C+,C,C,,C+,,B+,,C,,D,C+,C+,2.15
2563,100249287,B,B+,A,C+,B+,D+,A,C,C+,B,B+,C,C,B,,A,A,C,C,C,,A,B,C+,C+,A,,,,,A,,A,A,B+,,B,A,C+,,,,A,B+,B,,C+,B,C,3.08
2563,100249313,C,B,D,C+,A,B,B,D+,C+,C,D,B+,C+,,,D+,,B,C,B,A,C,B+,C+,C+,C+,,,,,C+,,D,,,,B+,C,C+,,B,,A,C,B,,D,B,C+,2.44
2563,100249317,C+,C+,D+,C+,B,C,B+,C,A,C,D+,F,B,,,C+,A,B,D+,B,,B+,B+,C,C+,,C+,,A,,A,,C+,C+,B,,,A,C+,,,,C+,,B+,,D,C+,B,2.72
2564,100249331,C,C,F,D,C,C,C,F,C,C,D,C,C,,,D,,C,C,C,,C,A,C,C,,C+,,,,C+,,F,,B,,,D+,C+,,B,,B+,,B+,,D,D+,C+,2.19
